GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,models,Task,70,0,0,0,20,0,11,0,11,0
client,models,Race,201,0,4,0,59,0,26,0,24,0
client,models,User,93,0,0,0,39,0,22,0,22,0
client,models,Helper,11,0,0,0,3,0,2,0,2,0
client,models,Organizer,11,0,0,0,3,0,2,0,2,0
client,models,Runner,36,0,0,0,9,0,5,0,5,0
client,controller,Controller,11,0,0,0,4,0,2,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Dashboard.new WindowAdapter() {...},20,0,2,0,5,0,3,0,2,0
client,pages,Dashboard.new ActionListener() {...},23,0,0,0,3,0,2,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Registration.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
client,pages,PanelRaces,309,0,2,0,51,0,2,0,1,0
client,pages,Dashboard.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
client,pages,Dashboard.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
client,pages,RaceDetail,794,0,12,0,128,0,7,0,1,0
client,pages,Login.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
client,pages,Login.new ActionListener() {...},20,0,0,0,5,0,2,0,2,0
client,pages,CreateRace,871,0,0,0,150,0,1,0,1,0
client,pages,Dashboard,3323,0,26,0,526,0,17,0,4,0
client,pages,CreateRace.new ActionListener() {...},78,0,2,0,16,0,3,0,2,0
client,pages,RaceDetail.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
client,pages,CreateRace.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
client,pages,HintTextField,44,0,6,0,14,0,7,0,4,0
client,pages,RaceDetail.new ActionListener() {...},34,0,2,0,6,0,3,0,2,0
client,pages,RaceDetail.new ActionListener() {...},34,0,2,0,6,0,3,0,2,0
client,pages,Registration,1045,0,6,0,193,0,6,0,3,0
client,pages,PanelRaces.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
client,pages,Login,570,0,2,0,102,0,3,0,2,0
client,networking,TaskGateway,169,0,4,0,39,0,5,0,3,0
client,networking,RaceGateway,503,0,10,0,113,0,10,0,5,0
client,networking,SignupGateway,135,0,2,0,28,0,3,0,2,0
client,networking,AuthGateway,190,0,8,0,46,0,8,0,4,0
client,networking,UsersGateway,334,0,6,0,88,0,7,0,4,0
client,networking,Gateway,75,0,4,0,22,0,6,0,4,0
