GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,models,Task,70,0,0,0,20,0,11,0,11,0
client,models,Race,189,12,4,0,55,4,22,4,20,4
client,models,User,81,12,0,0,35,4,18,4,18,4
client,models,Helper,11,0,0,0,3,0,2,0,2,0
client,models,Organizer,11,0,0,0,3,0,2,0,2,0
client,models,Runner,36,0,0,0,9,0,5,0,5,0
client,controller,Controller,11,0,0,0,4,0,2,0,2,0
client,pages,Dashboard.new WindowAdapter() {...},20,0,2,0,5,0,3,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Dashboard.new ActionListener() {...},71,0,4,0,15,0,5,0,2,0
client,pages,Registration.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
client,pages,PanelRaces,309,0,2,0,51,0,2,0,1,0
client,pages,Dashboard.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
client,pages,Dashboard.new ActionListener() {...},23,0,0,0,3,0,2,0,2,0
client,pages,RaceDetail,794,0,12,0,128,0,7,0,1,0
client,pages,Login.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
client,pages,CreateRace,914,0,2,0,161,0,3,0,2,0
client,pages,Dashboard,3335,0,26,0,530,0,18,0,5,0
client,pages,RaceDetail.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
client,pages,CreateRace.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
client,pages,HintTextField,44,0,6,0,14,0,7,0,4,0
client,pages,RaceDetail.new ActionListener() {...},35,0,2,0,6,0,3,0,2,0
client,pages,RaceDetail.new ActionListener() {...},35,0,2,0,6,0,3,0,2,0
client,pages,Registration,1034,0,6,0,190,0,6,0,3,0
client,pages,PanelRaces.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
client,pages,Login,574,0,2,0,105,0,4,0,3,0
client,managment,TaskManagement,38,29,3,1,5,4,4,1,2,1
client,managment,UsersManagement,3,58,0,0,1,9,1,3,1,3
client,managment,AuthManagement,4,103,1,9,1,20,2,7,1,3
client,managment,RaceManagement,7,146,3,5,2,24,4,6,1,5
client,networking,RestGateway,102,282,6,12,31,66,7,9,1,6
